Event	ID	Name			Wwise Object Path	Notes
	26345199	Rock_Event_PlayCrowd			\Default Work Unit\4_Rock\Rock_Event_PlayCrowd	
	493595885	Rock_Event_AmpCrash			\Default Work Unit\4_Rock\Rock_Event_AmpCrash	
	544591955	Rock_Event_BazSection2_Stop			\Default Work Unit\4_Rock\Earpiece\Rock_Event_BazSection2_Stop	
	690873912	Rock_Event_BazSection3_Stop			\Default Work Unit\4_Rock\Earpiece\Rock_Event_BazSection3_Stop	
	720901216	Rock_INT_hitkey5			\Default Work Unit\4_Rock\Instrument\Rock_INT_hitkey5	
	720901217	Rock_INT_hitkey4			\Default Work Unit\4_Rock\Instrument\Rock_INT_hitkey4	
	720901220	Rock_INT_hitkey1			\Default Work Unit\4_Rock\Instrument\Rock_INT_hitkey1	
	720901221	Rock_INT_hitkey0			\Default Work Unit\4_Rock\Instrument\Rock_INT_hitkey0	
	720901222	Rock_INT_hitkey3			\Default Work Unit\4_Rock\Instrument\Rock_INT_hitkey3	
	720901223	Rock_INT_hitkey2			\Default Work Unit\4_Rock\Instrument\Rock_INT_hitkey2	
	904092505	Rock_INT_hitkeyDUCK1			\Default Work Unit\4_Rock\Instrument\Rock_INT_hitkeyDUCK1	
	904092506	Rock_INT_hitkeyDUCK2			\Default Work Unit\4_Rock\Instrument\Rock_INT_hitkeyDUCK2	
	1220003658	Rock_Failstate_PlaySmallBoo			\Default Work Unit\4_Rock\Crowd_States\Rock_Failstate_PlaySmallBoo	
	1298401736	Rock_Winstate_PlayCheer			\Default Work Unit\4_Rock\Crowd_States\Rock_Winstate_PlayCheer	
	1533878226	Rock_Event_RageSpiral			\Default Work Unit\4_Rock\Rock_Event_RageSpiral	
	1741967887	Rock_Event_PlayCrowd2			\Default Work Unit\4_Rock\Rock_Event_PlayCrowd2	
	2028207771	Rock_Failstate_PlayBigBoo			\Default Work Unit\4_Rock\Crowd_States\Rock_Failstate_PlayBigBoo	
	2377595765	Rock_Event_BazSection2_Play			\Default Work Unit\4_Rock\Earpiece\Rock_Event_BazSection2_Play	
	2701233688	Rock_Event_AllRage			\Default Work Unit\4_Rock\Rage_Channels\Rock_Event_AllRage	
	2733779535	Rock_Ambient_Video			\Default Work Unit\4_Rock\Rock_Ambient_Video	
	3156820306	Rock_Event_BazSection4			\Default Work Unit\4_Rock\Earpiece\Rock_Event_BazSection4	
	3156820307	Rock_Event_BazSection5			\Default Work Unit\4_Rock\Earpiece\Rock_Event_BazSection5	
	3156820311	Rock_Event_BazSection1			\Default Work Unit\4_Rock\Earpiece\Rock_Event_BazSection1	
	3176416582	Rock_Event_BazSection3_Play			\Default Work Unit\4_Rock\Earpiece\Rock_Event_BazSection3_Play	
	4162096035	Rock_DevEvent_SkipToRageSpiral			\Default Work Unit\4_Rock\Rock_DevEvent_SkipToRageSpiral	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3111836245	Global_RTPC_SceneVolume			\Default Work Unit\Global_RTPC_SceneVolume	
	4153388590	Rock_RTPC_Popularity			\Default Work Unit\Rock_RTPC_Popularity	

Effect plug-ins	ID	Name	Type				Notes
	1259256166	New_RoomVerb	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	869474	SkipToRageChannel02_V5_AUDIO	D:\GS DoS LOCAL SD\ GD SD COMP\Unfairy Wwise project\Unfairy Wwise Project\Unfairy_Main\.cache\Windows\SFX\RageChannel02_V5_AUDIO_CF9D657B.wem		\Actor-Mixer Hierarchy\Default Work Unit\4_Rock\Rock_Mixer_Rage\SkipToRageChannel02_V5_AUDIO		7303776
	13035917	General_SFX_ALARM_Control Center_M	D:\GS DoS LOCAL SD\ GD SD COMP\Unfairy Wwise project\Unfairy Wwise Project\Unfairy_Main\.cache\Windows\SFX\General_SFX_ALARM_COntrol Center_M_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\4_Rock\General_SFX_ALARM_Control Center_M		1002748
	24137789	Rock_Failstate_PlayBigBoo	D:\GS DoS LOCAL SD\ GD SD COMP\Unfairy Wwise project\Unfairy Wwise Project\Unfairy_Main\.cache\Windows\SFX\Rock_Failstate_PlayBigBoo_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\4_Rock\Rock_Mixer_Crowd\Rock_Failstate_PlayBigBoo		3616924
	60879852	MX_INT OP5_1_E3	D:\GS DoS LOCAL SD\ GD SD COMP\Unfairy Wwise project\Unfairy Wwise Project\Unfairy_Main\.cache\Windows\SFX\MX_INT OP5_1_E3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\4_Rock\Rock_Mixer_Music\Rock_Mixer_Instrument\MX_INT OP5_1_E3		294180
	63658595	SkipToRageChannel01_V5_AUDIO	D:\GS DoS LOCAL SD\ GD SD COMP\Unfairy Wwise project\Unfairy Wwise Project\Unfairy_Main\.cache\Windows\SFX\RageChannel01_V5_AUDIO_CF9D657B.wem		\Actor-Mixer Hierarchy\Default Work Unit\4_Rock\Rock_Mixer_Rage\SkipToRageChannel01_V5_AUDIO		7303776
	110676490	Rock_MusicTrack_Mono_SkipToRageSpiral	D:\GS DoS LOCAL SD\ GD SD COMP\Unfairy Wwise project\Unfairy Wwise Project\Unfairy_Main\.cache\Windows\SFX\Rock_MusicTrack_Mono_CE3DBA06.wem		\Actor-Mixer Hierarchy\Default Work Unit\4_Rock\Rock_Mixer_Music\Rock_MusicTrack_Mono_SkipToRageSpiral		6576096
	144442135	25_MX_MAL_DUCK 2	D:\GS DoS LOCAL SD\ GD SD COMP\Unfairy Wwise project\Unfairy Wwise Project\Unfairy_Main\.cache\Windows\SFX\25_MX_MAL_DUCK 2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\4_Rock\Rock_Mixer_Music\Rock_Mixer_Instrument\25_MX_MAL_DUCK 2		72366
	209974336	25_MX_MAL_DUCK 1	D:\GS DoS LOCAL SD\ GD SD COMP\Unfairy Wwise project\Unfairy Wwise Project\Unfairy_Main\.cache\Windows\SFX\25_MX_MAL_DUCK 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\1_Main\25_MX_MAL_DUCK 1		34528
